report_date,client_hash_id,content_hash_id,month,gsc_impressions,ctr,model_score,baseline_score,reason
2026-06-11,client_73cda7b4e4f265ea,content_dea32e8086fd795c,2026-06,1742.0,0.003444316877152698,0.9975038700227067,7.463363045520021,visible_low_ctr|low_engagement
2026-06-13,client_a80fca3f171ed1de,content_7df40cc5e3dfc646,2026-06,1423.0,0.006324666198172874,0.9975038700227067,7.261225091971921,visible_low_ctr|low_engagement
2026-06-02,client_73cda7b4e4f265ea,content_1cc36e42d9f0bdcc,2026-06,534.0,0.0056179775280898875,0.9974975444281243,6.282266746896006,visible_low_ctr
2026-06-15,client_20259bd6705d81d4,content_11d6aed8b82929bc,2026-06,503.0,0.04572564612326044,0.9973544506902716,6.222576268071369,monitor
2026-06-04,client_73cda7b4e4f265ea,content_dee34a2aa25f2228,2026-06,777.0,0.005148005148005148,0.9972906962381054,6.656726524178391,visible_low_ctr
2026-06-23,client_73cda7b4e4f265ea,content_394af074144d0fd3,2026-06,1201.0,0.005828476269775187,0.9972772192788146,7.091742115095153,visible_low_ctr|low_engagement
2026-06-14,client_e5c2aa26a8598242,content_bfac125a1a2454c3,2026-06,833.0,0.008403361344537815,0.9972772192788146,6.726233402358747,visible_low_ctr|low_engagement
2026-06-17,client_73cda7b4e4f265ea,content_c52bbbd017bc4562,2026-06,907.0,0.011025358324145534,0.9972071912676101,6.811244378601294,low_engagement
2026-06-29,client_73cda7b4e4f265ea,content_ce4f8e9bc0e19230,2026-06,903.0,0.018826135105204873,0.9972071912676101,6.806829360392176,low_engagement
2026-06-05,client_73cda7b4e4f265ea,content_9de22312e57743b6,2026-06,502.0,0.00796812749003984,0.9969666110151876,6.220590170099739,visible_low_ctr
2026-06-26,client_e5c2aa26a8598242,content_f6428fe183a7ef6f,2026-06,1043.0,0.004793863854266539,0.9967240553240295,6.950814768442584,visible_low_ctr|low_engagement
2026-06-07,client_e5c2aa26a8598242,content_47a1c9848bdaad11,2026-06,2780.0,0.008633093525179856,0.9967195562972165,7.930565854233965,visible_low_ctr|low_engagement
2026-06-14,client_e5c2aa26a8598242,content_47a1c9848bdaad11,2026-06,1686.0,0.008896797153024912,0.9967195562972165,7.430707082545968,visible_low_ctr|low_engagement
2026-06-22,client_73cda7b4e4f265ea,content_5267d90f451c6edc,2026-06,1411.0,0.007087172218284904,0.9967195562972165,7.252762418053187,visible_low_ctr|low_engagement
2026-06-01,client_e5c2aa26a8598242,content_155b20646ca539f4,2026-06,1422.0,0.016877637130801686,0.9967195562972165,7.260522598089852,low_engagement
2026-06-14,client_e547b89c05043229,content_96af3a6cd3646795,2026-06,2004.0,0.0014970059880239522,0.9967195562972165,7.60339933974067,visible_low_ctr|low_engagement
2026-06-03,client_e547b89c05043229,content_4956564cd5565bfd,2026-06,481.0,0.008316008316008316,0.9966842527620385,6.1779441140506,visible_low_ctr
2026-06-09,client_e5c2aa26a8598242,content_96e7be677234110b,2026-06,1913.0,0.004181913225300575,0.9966511760039228,7.5569505720129,visible_low_ctr|low_engagement
2026-06-08,client_e5c2aa26a8598242,content_0706a728ff0e2a99,2026-06,1183.0,0.0033812341504649195,0.9966410677721623,7.076653815443951,visible_low_ctr|low_engagement
2026-06-23,client_e547b89c05043229,content_32afd9f71e6f02ec,2026-06,342.0,0.014619883040935672,0.9966190209086535,5.8377304471659395,monitor
2026-06-01,client_0fa64a184f18a4a0,content_6fb30f433b607ae9,2026-06,472.0,0.00847457627118644,0.9966159462143973,6.159095388491933,visible_low_ctr
2026-06-06,client_73cda7b4e4f265ea,content_e150538b64b966b8,2026-06,441.0,0.011337868480725623,0.9965153749907407,6.091309882077698,monitor
2026-06-25,client_73cda7b4e4f265ea,content_9bade3c39bff7f51,2026-06,692.0,0.0072254335260115606,0.996509229570593,6.541029999189903,visible_low_ctr|low_engagement
2026-06-24,client_73cda7b4e4f265ea,content_44c5f3ad89f101f2,2026-06,950.0,0.003157894736842105,0.9964948678156225,6.85751406254539,visible_low_ctr
2026-06-19,client_73cda7b4e4f265ea,content_a2e503bedbeb08b0,2026-06,1449.0,0.006211180124223602,0.9964628945727363,7.27931883541462,visible_low_ctr|low_engagement
2026-06-10,client_86ebc2f12c01f586,content_e2e0d5cdb45a294f,2026-06,395.0,0.015189873417721518,0.9964430311454322,5.981414211254481,monitor
2026-06-11,client_73cda7b4e4f265ea,content_8e3fb31c3a48cf1a,2026-06,370.0,0.016216216216216217,0.9963761059288965,5.916202062607435,monitor
2026-06-23,client_73cda7b4e4f265ea,content_40a9a9c500dbbd10,2026-06,1505.0,0.004651162790697674,0.9962823235188948,7.317212408359839,visible_low_ctr|low_engagement
